,Protein_Names,Sample_Name,Hits
0,TADBP_MOUSE,Q331K_M1,21257300.0
1,A0A0A6YY91_MOUSE,Q331K_M1,625371.0
2,A0A0R4J0I1_MOUSE,Q331K_M1,79336.8
3,A0A140LHB7_MOUSE,Q331K_M1,6103260.0
4,A0A1W2P872_MOUSE;D3YVV7_MOUSE,Q331K_M1,555183.0
5,A0A286YCB8_MOUSE;A0A286YCW8_MOUSE;A0A286YDL6_MOUSE,Q331K_M1,140362.0
6,A0A494B912_MOUSE,Q331K_M1,1712410.0
7,A0A571BDG0_MOUSE;A0A571BDG6_MOUSE;A0A571BG20_MOUSE;A0A571BG39_MOUSE;B1AQX6_MOUSE;B1AQX7_MOUSE;B1AQX9_MOUSE,Q331K_M1,436623.0
8,A0A668KL51_MOUSE;Q91VA7_MOUSE,Q331K_M1,175666.0
9,A2A472_MOUSE;A2A473_MOUSE;E9Q0B9_MOUSE,Q331K_M1,227972.0
10,GPTC8_MOUSE,Q331K_M1,100987.0
11,A2AJ72_MOUSE;Q3TIX6_MOUSE,Q331K_M1,158364.0
12,MA7D1-2_MOUSE;MA7D1_MOUSE,Q331K_M1,126276.0
13,A2ALL9_MOUSE;Q0VF55_MOUSE;Q8C048_MOUSE,Q331K_M1,133489.0
14,SHRM2-2_MOUSE;SHRM2_MOUSE,Q331K_M1,24091.1
15,SKT-2_MOUSE;SKT-3_MOUSE;SKT-4_MOUSE;SKT_MOUSE,Q331K_M1,124977.0
16,PPIG_MOUSE,Q331K_M1,364420.0
17,A2AW41_MOUSE;Q8VHM5_MOUSE,Q331K_M1,260403.0
18,RSRC2_MOUSE,Q331K_M1,137135.0
19,A8DUK4_MOUSE,Q331K_M1,1301890.0
20,B1AXZ3_MOUSE;B1AXZ4_MOUSE;B1AXZ5_MOUSE;B1AXZ6_MOUSE,Q331K_M1,206692.0
21,B2RQG2_MOUSE,Q331K_M1,36602.8
22,GNAI1_MOUSE;GNAI2_MOUSE;GNAI3_MOUSE;GNAT1_MOUSE;GNAT2_MOUSE;GNAT3_MOUSE,Q331K_M1,94824.7
23,RBM25_MOUSE,Q331K_M1,681739.0
24,H2A1B_MOUSE;H2A1C_MOUSE;H2A1D_MOUSE;H2A1E_MOUSE;H2A1F_MOUSE;H2A1G_MOUSE;H2A1H_MOUSE;H2A1I_MOUSE;H2A1K_MOUSE;H2A1N_MOUSE;H2A1O_MOUSE;H2A1P_MOUSE;H2A2A_MOUSE;H2A2C_MOUSE;H2A3_MOUSE;H2AJ_MOUSE;H2AV_MOUSE;H2AX_MOUSE;H2AZ_MOUSE,Q331K_M1,683664.0
25,D3YW09_MOUSE;G3UVU2_MOUSE,Q331K_M1,160965.0
26,D3YWT1_MOUSE;D3Z3N4_MOUSE,Q331K_M1,122222.0
27,D3YWX2_MOUSE;F6YTL8_MOUSE,Q331K_M1,254474.0
28,SAFB1_MOUSE,Q331K_M1,220027.0
29,D3Z0M9_MOUSE,Q331K_M1,116149.0
30,GLSK-2_MOUSE;GLSK_MOUSE,Q331K_M1,167000.0
31,E9PV14_MOUSE,Q331K_M1,118759.0
32,E9PVU0_MOUSE;E9Q174_MOUSE;E9Q175_MOUSE;E9Q3L1_MOUSE;V9GX76_MOUSE;V9GXM4_MOUSE,Q331K_M1,245760.0
33,PRR12_MOUSE,Q331K_M1,0.0
34,E9Q0F0_MOUSE,Q331K_M1,31293000.0
35,E9Q1Z0_MOUSE,Q331K_M1,236849.0
36,E9Q4Q2_MOUSE;F6Z9W2_MOUSE,Q331K_M1,158973.0
37,ACACB_MOUSE,Q331K_M1,4037920.0
38,DESP_MOUSE,Q331K_M1,1375340.0
39,E9Q5M4_MOUSE,Q331K_M1,552433.0
40,E9Q616_MOUSE,Q331K_M1,28227.2
41,E9Q6E5_MOUSE;F6RDI8_MOUSE;Q3UIX4_MOUSE,Q331K_M1,958735.0
42,NUMA1_MOUSE,Q331K_M1,47724.0
