,Protein_Group,Protein_Ids,Protein_Names,Genes,First_Protein_Description,1139,3058,Peptides
0,P50171,P50171,DHB8_MOUSE,Hsd17b8,(3R)-3-hydroxyacyl-CoA dehydrogenase,0.0,22041.7,
1,Q8BFP9,Q8BFP9,PDK1_MOUSE,Pdk1,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",0.0,38263.6,
2,O08810,O08810,U5S1_MOUSE,Eftud2,116 kDa U5 small nuclear ribonucleoprotein component,0.0,233246.0,
3,O35083,O35083,PLCA_MOUSE,Agpat1,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,0.0,95786.6,
4,Q8K4X7,Q8K4X7,PLCD_MOUSE,Agpat4,1-acyl-sn-glycerol-3-phosphate acyltransferase delta,0.0,20869.4,
5,Q8BG32,Q8BG32,PSD11_MOUSE,Psmd11,26S proteasome non-ATPase regulatory subunit 11,0.0,23808.3,
6,Q9D8W5,Q9D8W5,PSD12_MOUSE,Psmd12,26S proteasome non-ATPase regulatory subunit 12,0.0,42697.5,
7,Q9WVJ2,Q9WVJ2,PSD13_MOUSE,Psmd13,26S proteasome non-ATPase regulatory subunit 13,0.0,36238.9,
8,O35593,O35593,PSDE_MOUSE,Psmd14,26S proteasome non-ATPase regulatory subunit 14,0.0,55609.3,
9,P26516,P26516,PSMD7_MOUSE,Psmd7,26S proteasome non-ATPase regulatory subunit 7,0.0,8561.22,
10,Q3UHX2,Q3UHX2,HAP28_MOUSE,Pdap1,28 kDa heat- and acid-stable phosphoprotein,0.0,21854.6,
11,Q9CPX7,Q9CPX7,RT16_MOUSE,Mrps16,"28S ribosomal protein S16, mitochondrial",0.0,83182.6,
12,Q99N84,Q99N84,RT18B_MOUSE,Mrps18b,"28S ribosomal protein S18b, mitochondrial",0.0,29799.4,
13,Q924T2,Q924T2,RT02_MOUSE,Mrps2,"28S ribosomal protein S2, mitochondrial",0.0,20459.8,
14,P58059,P58059,RT21_MOUSE,Mrps21,"28S ribosomal protein S21, mitochondrial",0.0,144577.0,
15,Q9CXW2,Q9CXW2,RT22_MOUSE,Mrps22,"28S ribosomal protein S22, mitochondrial",0.0,40985.3,
16,Q8VE22,Q8VE22,RT23_MOUSE,Mrps23,"28S ribosomal protein S23, mitochondrial",0.0,37879.2,
17,Q80ZS3,Q80ZS3,RT26_MOUSE,Mrps26,"28S ribosomal protein S26, mitochondrial",0.0,83098.7,
18,Q8BK72,Q8BK72,RT27_MOUSE,Mrps27,"28S ribosomal protein S27, mitochondrial",0.0,25183.3,
19,Q9CY16,Q9CY16,RT28_MOUSE,Mrps28,"28S ribosomal protein S28, mitochondrial",0.0,31998.1,
20,Q9ER88,Q9ER88,RT29_MOUSE,Dap3,"28S ribosomal protein S29, mitochondrial",0.0,44119.3,
21,Q80X85,Q80X85,RT07_MOUSE,Mrps7,"28S ribosomal protein S7, mitochondrial",0.0,40078.1,
22,Q6PDY2,Q6PDY2,AEDO_MOUSE,Ado,2-aminoethanethiol dioxygenase,0.0,20614.1,
23,B2RR83,B2RR83,YTDC2_MOUSE,Ythdc2,3'-5' RNA helicase YTHDC2,0.0,82389.6,
24,Q99N93,Q99N93,RM16_MOUSE,Mrpl16,"39S ribosomal protein L16, mitochondrial",0.0,4617.73,
25,Q9Z2A0,Q9Z2A0,PDPK1_MOUSE,Pdpk1,3-phosphoinositide-dependent protein kinase 1,0.0,33510.5,
26,P63323,P63323,RS12_MOUSE,Rps12,40S ribosomal protein S12,0.0,53710.2,
27,P97351,P97351,RS3A_MOUSE,Rps3a,40S ribosomal protein S3a,0.0,26866.9,
28,Q9JLJ2,Q9JLJ2,AL9A1_MOUSE,Aldh9a1,4-trimethylaminobutyraldehyde dehydrogenase,0.0,42153.8,
29,P97789,P97789,XRN1_MOUSE,Xrn1,5'-3' exoribonuclease 1,0.0,93846.6,
30,P35979,P35979,RL12_MOUSE,Rpl12,60S ribosomal protein L12,0.0,33322.1,
31,O09167,O09167,RL21_MOUSE,Rpl21,60S ribosomal protein L21,0.0,54636.8,
32,P47964,P47964,RL36_MOUSE,Rpl36,60S ribosomal protein L36,0.0,43977.1,
