,Protein_Group,Protein_Ids,Protein_Names,Genes,First_Protein_Description,Peptides,Q331K_M1,Q331K_M2,WT_M3,WT_M4
0,Q921F2,Q921F2;A0A087WP57;A0A087WR97;A0A087WRZ5;A0A087WSE4;Q6VYI4;Q6VYI5;Q8BLD4;Q8R0B4,TADBP_MOUSE,Tardbp,TAR DNA-binding protein 43,14,21257300.0,16359000.0,2787610.0,15447600.0
1,A0A0A6YY91,A0A0A6YY91,A0A0A6YY91_MOUSE,Ncam1,"Isoform of P13595, Neural cell adhesion molecule 1 (Fragment)",2,625371.0,1273580.0,77989.7,520406.0
2,A0A0R4J0I1,A0A0R4J0I1,A0A0R4J0I1_MOUSE,Serpina3k,"Isoform of P07759, Serine protease inhibitor A3K",2,79336.8,133332.0,141980.0,166668.0
3,A0A140LHB7,A0A140LHB7,A0A140LHB7_MOUSE,Efl1,"Isoform of Q8C0D5, Tr-type G domain-containing protein",1,6103260.0,5084280.0,5314530.0,4974480.0
4,A0A1W2P872;D3YVV7,D3YVV7;A0A1W2P872,A0A1W2P872_MOUSE;D3YVV7_MOUSE,Nova2,"Isoform of D3YVV7, NOVA alternative-splicing regulator 2",9,555183.0,454585.0,32248.8,629960.0
5,A0A286YCB8;A0A286YCW8;A0A286YDL6,A0A286YCB8;A0A286YCW8;A0A286YDL6,A0A286YCB8_MOUSE;A0A286YCW8_MOUSE;A0A286YDL6_MOUSE,Camk2g,"Isoform of Q923T9, Protein kinase domain-containing protein (Fragment)",1,140362.0,177724.0,0.0,0.0
6,A0A494B912,A0A494B912,A0A494B912_MOUSE,Pcx,"Isoform of Q05920, Biotin carboxylation domain-containing protein (Fragment)",1,1712410.0,1684040.0,2329950.0,1605770.0
7,A0A571BDG0;A0A571BDG6;A0A571BG20;A0A571BG39;B1AQX6;B1AQX7;B1AQX9,A0A571BDG0;A0A571BDG6;A0A571BG20;A0A571BG39;B1AQX6;B1AQX7;B1AQX9,A0A571BDG0_MOUSE;A0A571BDG6_MOUSE;A0A571BG20_MOUSE;A0A571BG39_MOUSE;B1AQX6_MOUSE;B1AQX7_MOUSE;B1AQX9_MOUSE,Srcin1,"Isoform of Q9QWI6, AIP3 domain-containing protein",3,436623.0,875757.0,80779.9,493180.0
8,A0A668KL51;Q91VA7,Q91VA7;A0A668KL51,A0A668KL51_MOUSE;Q91VA7_MOUSE,Idh3b,"Isoform of Q91VA7, Isocitrate dehydrogenase [NAD] subunit, mitochondrial",7,175666.0,118655.0,84323.1,69856.9
9,A2A472;A2A473;E9Q0B9,A2A472;A2A473;E9Q0B9;F6XVL5,A2A472_MOUSE;A2A473_MOUSE;E9Q0B9_MOUSE,Tox2,HMG box domain-containing protein,2,227972.0,271116.0,0.0,273841.0
10,A2A6A1,A2A6A1,GPTC8_MOUSE,Gpatch8,G patch domain-containing protein 8,3,100987.0,81975.6,0.0,67476.4
11,A2AJ72;Q3TIX6,Q3TIX6;A0A0A6YVV5;A2AJ72,A2AJ72_MOUSE;Q3TIX6_MOUSE,Fubp3,"Isoform of Q3TIX6, Far upstream element (FUSE)-binding protein 3",5,158364.0,168087.0,0.0,160794.0
12,A2AJI0;A2AJI0-2,A2AJI0;A2AJI0-2;A2AJI1;A8Y5P4,MA7D1-2_MOUSE;MA7D1_MOUSE,Map7d1,MAP7 domain-containing protein 1,1,126276.0,183648.0,95074.2,122068.0
13,A2ALL9;Q0VF55;Q8C048,Q0VF55;A2ALL9;Q8C048,A2ALL9_MOUSE;Q0VF55_MOUSE;Q8C048_MOUSE,Atp2b3,"Isoform of Q0VF55, Calcium-transporting ATPase",2,133489.0,99341.1,0.0,0.0
14,A2ALU4;A2ALU4-2,A2ALU4;A2ALU4-2;A7TU71,SHRM2-2_MOUSE;SHRM2_MOUSE,Shroom2,Protein Shroom2,1,24091.1,0.0,0.0,0.0
