,Protein_Names,Protein_Group,Protein_Ids,Genes,First_Protein_Description,Peptides,1135-MRL_12,3057-MLL-LP1_2,3057-MLL-LS1_1,3057-MLL-NUC_3,3057-MRL-LP1_10,3057-MRL-LS1_7,3058-FRL_5,3058-FRU_13,3058-FRU-LP1_9,3058-FRU-LS1_6,3058-MRU_15,3062-MRL_4,3062-MRU_14,3062-MRU-LP1_11,3062-MRU-LS1_8
0,TBA1A_MOUSE,P68369,P05214;P68369;P68373;Q9JJZ2,Tuba1a,Tubulin alpha-1A chain,8,13013100.0,161783000.0,346231000.0,3521250.0,248236000.0,5575930.0,23416100.0,78595300.0,63324700.0,6786260.0,43049300.0,22756200.0,162660000.0,3018330000.0,73709200.0
1,TBA4A_MOUSE,P68368,P05213;P68368;P68369;P68373;Q3UX10;A0A0A0MQA5,Tuba4a,Tubulin alpha-4A chain,28,6616000.0,160863000.0,513050000.0,2729930.0,227471000.0,3409790.0,18851000.0,51698000.0,58741500.0,5403360.0,31614100.0,18266800.0,136173000.0,2361030000.0,53983200.0
2,KCC2A_MOUSE,P11798,P11798;F8WHB5;F8WIS9;P11798-2,Camk2a,Calcium/calmodulin-dependent protein kinase type II subunit alpha,31,7995310.0,126170000.0,23194300.0,897933.0,159519000.0,208834.0,22436500.0,43949600.0,99779900.0,677097.0,95930300.0,22055300.0,79842200.0,1379230000.0,4171150.0
3,K1C17_MOUSE,Q9QWL7,Q9QWL7,Krt17,"Keratin, type I cytoskeletal 17",28,83662500.0,119307000.0,106735000.0,86980600.0,167563000.0,29730700.0,68578500.0,32354000.0,23324800.0,60641900.0,109863000.0,90748200.0,34487200.0,45022400.0,100687000.0
4,TBB3_MOUSE,Q9ERD7,Q922F4;Q9ERD7,Tubb3,Tubulin beta-3 chain,18,4078410.0,117870000.0,493320000.0,2155010.0,143086000.0,3124130.0,17367900.0,44406300.0,37950900.0,5015970.0,28170600.0,16313000.0,110001000.0,2031950000.0,43010100.0
5,TBB4A_MOUSE,Q9D6F9,P68372;P99024;Q9D6F9,Tubb4a,Tubulin beta-4A chain,32,3763290.0,97836100.0,291524000.0,2049180.0,135448000.0,1918940.0,12758700.0,33097200.0,37642600.0,4235810.0,23065800.0,12973800.0,85893100.0,1714350000.0,28495900.0
6,ADT1_MOUSE,P48962,P48962;P51881;Q3V132,Slc25a4,ADP/ATP translocase 1,22,2572750.0,97353100.0,3946100.0,1111620.0,186453000.0,0.0,11303500.0,35457900.0,8513700.0,261747.0,10051600.0,11976100.0,70286000.0,151408000.0,478040.0
7,TMPSD_MOUSE,Q5U405,Q5U405;E9QPR6,Tmprss13,Transmembrane protease serine 13,1,50098000.0,90534400.0,82110900.0,119068000.0,55036800.0,57498600.0,98376600.0,44508200.0,58849800.0,51148200.0,54963400.0,89830900.0,32815100.0,20398400.0,42966300.0
8,TBB2A_MOUSE,Q7TMM9,Q7TMM9;Q9CWF2,Tubb2a,Tubulin beta-2A chain,12,2743050.0,84416100.0,248942000.0,1472040.0,101492000.0,1914180.0,10272900.0,30029000.0,32033900.0,3907900.0,22118200.0,11149800.0,78424900.0,1173320000.0,27730700.0
9,E9Q0F0_MOUSE,E9Q0F0,E9Q0F0,Krt78,IF rod domain-containing protein,2,38194500.0,80869700.0,99231000.0,110841000.0,220039000.0,6225310.0,68010900.0,12691200.0,8503230.0,18343000.0,85806000.0,77460400.0,13829400.0,26886500.0,30160000.0
10,H2A1B_MOUSE;H2A1C_MOUSE;H2A1D_MOUSE;H2A1E_MOUSE;H2A1F_MOUSE;H2A1G_MOUSE;H2A1H_MOUSE;H2A1I_MOUSE;H2A1K_MOUSE;H2A1N_MOUSE;H2A1O_MOUSE;H2A1P_MOUSE;H2A3_MOUSE;H2AJ_MOUSE,C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2,C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q64523;Q6GSS7;Q8BFU2;Q8CGP4;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2;A0A0N4SV66,H2ac11;H2ac12;H2ac13;H2ac15;H2ac4;H2ac6;H2ac7;H2ac8;H2aj;H2aw;Hist1h2af;Hist1h2an;Hist1h2ao;Hist1h2ap,Histone H2A type 1-B,4,7459160.0,64664700.0,2924690.0,29509300.0,55167400.0,1265890.0,2121280.0,5331210.0,76899300.0,2344240.0,5990650.0,2829720.0,4417640.0,3127040000.0,10052900.0
11,ACTB_MOUSE,P60710,P60710;P63260;E9Q5F4;E9Q606;G3UYG0;G3UZ07,Actb,"Actin, cytoplasmic 1",26,4513780.0,63025100.0,612632000.0,1899130.0,77574500.0,5500550.0,54637200.0,59399100.0,63893700.0,3013590.0,44530000.0,67379600.0,260558000.0,1588470000.0,39459300.0
12,E9QPD7_MOUSE;G5E8R3_MOUSE,E9QPD7;G5E8R3,Q05920;E9QPD7;G5E8R3,Pcx,"Isoform of Q05920, Pyruvate carboxylase",73,90450500.0,59018000.0,27217800.0,38133300.0,114552000.0,34019900.0,83753000.0,274785000.0,20577300.0,152748000.0,125308000.0,88587200.0,273462000.0,73830600.0,87967400.0
